length, selection, insertion, merge
10, 45, 19, 20
25, 300, 156, 86
40, 780, 408, 164
55, 1485, 831, 258
70, 2415, 1188, 350
85, 3570, 1758, 441
100, 4950, 2578, 537
115, 6555, 3673, 649
130, 8385, 4643, 756
145, 10440, 5501, 867
160, 12720, 6379, 969
175, 15225, 7407, 1083
190, 17955, 8440, 1215
205, 20910, 10776, 1311
220, 24090, 12800, 1444
235, 27495, 13590, 1553
250, 31125, 15675, 1681
265, 34980, 17476, 1803
280, 39060, 19348, 1939
295, 43365, 21463, 2027
310, 47895, 23060, 2173
325, 52650, 26628, 2308
340, 57630, 30172, 2420
355, 62835, 30896, 2576
370, 68265, 34993, 2676
385, 73920, 38873, 2803
400, 79800, 39965, 2961
415, 85905, 43116, 3122
430, 92235, 47177, 3255
445, 98790, 51202, 3376
460, 105570, 52856, 3511
475, 112575, 57142, 3625
490, 119805, 58740, 3768
505, 127260, 65616, 3901
520, 134940, 69661, 4047
535, 142845, 69306, 4179
550, 150975, 78140, 4317
565, 159330, 82892, 4441
580, 167910, 84495, 4583
595, 176715, 88233, 4741
610, 185745, 94031, 4898
625, 195000, 104732, 5025
640, 204480, 105145, 5174
655, 214185, 105750, 5309
670, 224115, 110081, 5489
685, 234270, 121116, 5631
700, 244650, 122033, 5753
715, 255255, 128016, 5869
730, 266085, 132575, 6030
745, 277140, 142874, 6184
760, 288420, 151494, 6325
775, 299925, 150220, 6477
790, 311655, 158842, 6633
805, 323610, 161574, 6783
820, 335790, 174053, 6925
835, 348195, 177592, 7087
850, 360825, 186184, 7230
865, 373680, 191683, 7336
880, 386760, 196453, 7512
895, 400065, 208192, 7700
910, 413595, 211641, 7826
925, 427350, 213587, 7933
940, 441330, 223106, 8133
955, 455535, 225378, 8217
970, 469965, 230476, 8421
985, 484620, 244383, 8586
1000, 499500, 257113, 8714
1015, 514605, 257804, 8846
1030, 529935, 264516, 9041
1045, 545490, 280526, 9154
1060, 561270, 279404, 9311
1075, 577275, 295406, 9505
1090, 593505, 297548, 9639
1105, 609960, 305623, 9803
1120, 626640, 313088, 9968
1135, 643545, 325798, 10102
1150, 660675, 325711, 10223
1165, 678030, 338217, 10418
1180, 695610, 352419, 10587
1195, 713415, 363488, 10713
1210, 731445, 364288, 10906
1225, 749700, 389791, 11065
1240, 768180, 386088, 11209
